iter	Passed	Remaining
404	9050	13296
405	9070	13270
406	9085	13237
407	9101	13206
408	9119	13177
409	9144	13159
410	9160	13128
411	9182	13104
412	9229	13118
413	9260	13108
414	9280	13081
415	9308	13068
416	9324	13036
417	9340	13005
418	9357	12976
419	9394	12973
420	9420	12956
421	9441	12931
422	9476	12926
423	9494	12898
424	9515	12874
425	9543	12858
426	9562	12832
427	9588	12814
428	9610	12791
429	9641	12780
430	9668	12764
431	9687	12737
432	9706	12710
433	9736	12697
434	9756	12672
435	9787	12661
436	9812	12641
437	9828	12611
438	9898	12649
439	9941	12653
440	9966	12632
441	9992	12614
442	10009	12585
443	10028	12557
444	10042	12525
445	10059	12495
446	10074	12463
447	10091	12433
448	10109	12405
449	10124	12374
450	10140	12344
451	10156	12313
452	10175	12287
453	10193	12259
454	10208	12227
455	10224	12197
456	10240	12167
457	10254	12134
458	10270	12104
459	10287	12076
460	10303	12047
461	10318	12016
462	10336	11987
463	10351	11957
464	10365	11926
465	10377	11892
466	10393	11862
467	10406	11829
468	10423	11801
469	10433	11765
470	10449	11736
471	10461	11703
472	10477	11673
473	10489	11640
474	10503	11608
475	10518	11578
476	10534	11549
477	10549	11520
478	10564	11491
479	10580	11462
480	10598	11435
481	10614	11407
482	10629	11377
483	10646	11350
484	10668	11328
485	10681	11296
486	10696	11267
487	10711	11237
488	10724	11207
489	10737	11175
490	10752	11147
491	10765	11115
492	10779	11085
493	10792	11054
494	10806	11024
495	10820	10994
496	10838	10969
497	10857	10944
498	10877	10921
499	10896	10896
500	10914	10870
501	10933	10846
502	10951	10821
503	10970	10795
504	10987	10769
505	11004	10743
506	11035	10730
507	11051	10703
508	11077	10685
509	11103	10668
510	11121	10642
511	11139	10617
512	11158	10593
513	11206	10596
514	11239	10584
515	11273	10574
516	11288	10546
517	11314	10527
518	11339	10509
519	11358	10485
520	11392	10474
521	11424	10461
522	11486	10476
523	11511	10457
524	11538	10439
525	11551	10409
526	11575	10389
527	11618	10386
528	11683	10402
529	11703	10378
530	11725	10356
531	11741	10329
532	11803	10342
533	11827	10321
534	11857	10306
535	11886	10289
536	11930	10286
537	11966	10275
538	11993	10257
539	12032	10249
540	12067	10238
541	12130	10250
542	12189	10258
543	12248	10267
544	12362	10321
545	12434	10339
546	12458	10317
547	12522	10328
548	12573	10329
549	12602	10311
550	12635	10296
551	12700	10307
552	12753	10309
553	12832	10330
554	12911	10352
555	12958	10348
556	12992	10333
557	13038	10327
558	13057	10301
559	13087	10282
560	13117	10264
561	13136	10238
562	13168	10221
563	13201	10205
564	13233	10188
565	13252	10161
566	13283	10144
567	13310	10123
568	13327	10095
569	13359	10078
570	13381	10054
571	13399	10025
572	13423	10003
573	13439	9974
574	13464	9952
575	13488	9928
576	13512	9905
577	13534	9881
578	13627	9908
579	13703	9923
580	13730	9901
581	13742	9870
582	13772	9850
583	13787	9821
584	13804	9793
585	13827	9768
586	13844	9740
587	13860	9711
588	13883	9687
589	13898	9658
590	13916	9630
591	13948	9613
592	13965	9584
593	13981	9556
594	14011	9536
595	14027	9508
596	14044	9480
597	14076	9463
598	14096	9436
599	14112	9408
600	14135	9384
601	14150	9355
602	14184	9338
603	14206	9314
604	14221	9284
605	14243	9260
606	14264	9235
607	14283	9209
608	14303	9183
609	14331	9162
610	14354	9139
611	14391	9123
612	14405	9094
613	14424	9068
614	14447	9044
615	14471	9021
616	14481	8989
617	14505	8965
618	14522	8938
619	14538	8910
620	14569	8892
621	14585	8863
622	14601	8835
623	14632	8816
624	14646	8788
625	14663	8760
626	14691	8739
627	14707	8712
628	14723	8684
629	14747	8661
630	14765	8634
631	14774	8602
632	14807	8585
633	14823	8557
634	14833	8526
635	14856	8503
636	14876	8477
637	14893	8450
638	14970	8457
639	14998	8436
640	15020	8412
641	15042	8388
642	15073	8369
643	15106	8350
644	15203	8368
645	15255	8359
646	15300	8347
647	15318	8321
648	15347	8300
649	15375	8279
650	15389	8250
651	15410	8225
652	15429	8198
653	15444	8170
654	15459	8142
655	15489	8122
656	15504	8094
657	15518	8065
658	15534	8038
659	15554	8013
660	15571	7985
661	15588	7958
662	15613	7936
663	15635	7912
664	15652	7885
665	15667	7857
666	15682	7829
667	15696	7801
668	15711	7773
669	15724	7744
670	15732	7713
671	15747	7686
672	15766	7660
673	15785	7634
674	15795	7605
675	15810	7577
676	15825	7550
677	15840	7523
678	15856	7496
679	15870	7468
680	15881	7439
681	15890	7409
682	15905	7382
683	15920	7354
684	15934	7327
685	15946	7299
686	15955	7269
687	15969	7242
