iter	MultiClass
0	1.943125455
1	1.9407455
2	1.940199178
3	1.938045383
4	1.936479557
5	1.934344568
6	1.932538765
7	1.931003405
8	1.928829254
9	1.926955446
10	1.924752728
11	1.922223846
12	1.919834635
13	1.918072208
14	1.917636601
15	1.91586041
16	1.913670881
17	1.912164384
18	1.910437193
19	1.90883438
20	1.906858186
21	1.905522003
22	1.903139696
23	1.901130758
24	1.899589127
25	1.897776034
26	1.896430149
27	1.894385778
28	1.892983199
29	1.89096348
30	1.888768672
31	1.887309758
32	1.884746276
33	1.883215626
34	1.881711104
35	1.879627342
36	1.877754656
37	1.876014093
38	1.873919461
39	1.871767125
40	1.869500956
41	1.868173677
42	1.867068923
43	1.86561192
44	1.864216333
45	1.862433784
46	1.861230404
47	1.859259868
48	1.857491435
49	1.855594037
50	1.853877627
51	1.85232218
52	1.850699349
53	1.849217451
54	1.847534125
55	1.845280608
56	1.843459092
57	1.841984424
58	1.840526009
59	1.839074085
60	1.837559568
61	1.836617328
62	1.83522548
63	1.833641757
64	1.831689579
65	1.830783171
66	1.829836871
67	1.82847661
68	1.82757118
69	1.825567094
70	1.824294033
71	1.823008441
72	1.821171432
73	1.81960931
74	1.81829627
75	1.817402554
76	1.816483964
77	1.814954708
78	1.813633177
79	1.812517952
80	1.810752387
81	1.809595379
82	1.808043837
83	1.806059583
84	1.805162633
85	1.804248154
86	1.802907076
87	1.801200953
88	1.799340013
89	1.797380959
90	1.795892383
91	1.794546046
92	1.792878131
93	1.791308518
94	1.789807284
95	1.787993102
96	1.786450514
97	1.785243146
98	1.784173274
99	1.782462688
100	1.780891295
101	1.778849202
102	1.777717811
103	1.776583913
104	1.775080835
105	1.773665992
106	1.772460006
107	1.770926066
108	1.769483635
109	1.768068954
110	1.766827344
111	1.764846749
112	1.763735612
113	1.761844596
114	1.760510972
115	1.758837864
116	1.757339315
117	1.755376171
118	1.754224167
119	1.752092199
120	1.750600188
121	1.74918283
122	1.747545256
123	1.745748232
124	1.744514201
125	1.742986559
126	1.741444017
127	1.74019932
128	1.739193235
129	1.737600345
130	1.736588198
131	1.734972212
132	1.733798058
133	1.732553301
134	1.731311147
135	1.730045702
136	1.728548173
137	1.726867946
138	1.725538798
139	1.724341515
140	1.723114794
141	1.721339139
142	1.719898322
143	1.718160838
144	1.716418399
145	1.714513892
146	1.71333902
147	1.711769265
148	1.710487606
149	1.709311359
150	1.708042552
151	1.706792374
152	1.705658394
153	1.704403207
154	1.70275659
155	1.701344769
156	1.700372237
157	1.699266867
158	1.698099998
159	1.696844042
160	1.695275134
161	1.69419782
162	1.692759544
163	1.691471287
164	1.690392882
165	1.688939782
166	1.68736942
167	1.686068947
168	1.684740597
169	1.683535092
170	1.682143097
171	1.680789136
172	1.6788844
173	1.677489928
174	1.676290622
175	1.675085176
176	1.673963466
177	1.672505727
178	1.671229958
179	1.669960692
180	1.668778117
181	1.667393438
182	1.666403534
183	1.664939205
184	1.663444447
185	1.66224737
186	1.660755034
187	1.659446369
188	1.658299061
189	1.656889103
190	1.65588537
191	1.654157443
192	1.65277739
193	1.651018384
194	1.649262333
195	1.648057584
196	1.646654976
197	1.645361352
198	1.644002176
199	1.642923238
200	1.641768812
201	1.640477549
202	1.639595106
203	1.638181768
204	1.6364338
205	1.634956523
206	1.633585505
207	1.632192579
208	1.631013166
209	1.629238184
210	1.627655739
211	1.626352637
212	1.625131483
213	1.623845102
214	1.62262841
215	1.621125618
216	1.619526654
217	1.618429848
218	1.617525486
219	1.615932234
220	1.614783443
221	1.613049092
222	1.611875939
223	1.610706492
224	1.609365283
225	1.608144638
226	1.607081747
227	1.606285039
228	1.605103122
229	1.603998213
230	1.602228602
231	1.600793055
232	1.599469835
233	1.598435367
234	1.597761152
235	1.596137578
236	1.594761342
237	1.593848917
238	1.592522306
239	1.590887677
240	1.589643944
241	1.588549643
242	1.587493708
243	1.58610819
244	1.584680664
245	1.583190473
246	1.581948996
247	1.580779509
248	1.578945972
249	1.578003705
250	1.576583638
251	1.575183876
252	1.574098723
253	1.57315659
254	1.571925824
255	1.570766254
256	1.56962038
257	1.56833987
258	1.567669141
259	1.566498889
260	1.565264323
261	1.564150614
262	1.562802856
263	1.561390637
264	1.560696048
265	1.559701457
266	1.558678881
267	1.557413559
268	1.556024177
269	1.554566376
270	1.553431549
271	1.552562011
272	1.551276607
273	1.549618209
274	1.548895001
275	1.54746062
276	1.546031948
277	1.545010448
278	1.543740884
279	1.542541823
280	1.541454261
281	1.540110034
282	1.538529065
283	1.537421515
284	1.536274322
285	1.535495884
286	1.534070266
287	1.532438848
288	1.530998299
289	1.52992268
290	1.528496111
291	1.527279569
292	1.526251161
293	1.524832694
294	1.523643223
295	1.522772755
296	1.52142768
297	1.520399641
298	1.519011515
299	1.517920349
300	1.516548621
301	1.51538255
302	1.514466455
303	1.513199365
304	1.512097006
305	1.510587491
306	1.509914306
307	1.508501367
308	1.50760268
309	1.506342916
310	1.505304049
311	1.504191204
312	1.503208846
313	1.501948821
314	1.501054713
315	1.500059057
316	1.498891108
317	1.498041642
318	1.496794023
319	1.495581255
320	1.494456501
321	1.493413317
322	1.492104224
323	1.490918297
324	1.489907875
325	1.488433187
326	1.487588322
327	1.486747269
328	1.485697109
329	1.484210122
330	1.483090493
331	1.482065775
332	1.48095428
333	1.479837186
334	1.478773335
335	1.477658162
336	1.476593793
337	1.475661586
338	1.474279742
339	1.473048328
340	1.471870099
341	1.47093165
342	1.46938753
343	1.467965508
344	1.466768272
345	1.465612319
346	1.464461799
347	1.463434996
348	1.462369488
349	1.461148782
350	1.459860771
351	1.459025652
352	1.458141345
353	1.457012433
354	1.456416746
355	1.455510953
356	1.454381571
357	1.453249997
358	1.452147813
359	1.450925409
360	1.449591851
361	1.448319952
362	1.447292618
363	1.446283319
364	1.445525205
365	1.444344777
366	1.443473102
367	1.442449056
368	1.441551523
369	1.440420619
370	1.439648546
371	1.438399681
372	1.437560566
373	1.436350152
374	1.43563889
375	1.434597456
376	1.433575923
377	1.432395459
378	1.431272782
379	1.430363184
380	1.429240565
381	1.427844213
382	1.426887462
383	1.425435629
384	1.424637395
385	1.423602202
386	1.422548302
387	1.421475309
388	1.420477611
389	1.419661999
390	1.418432716
391	1.416967536
392	1.416223602
393	1.414979099
394	1.414005989
395	1.413434663
396	1.412294057
397	1.411338165
398	1.410084728
399	1.409260695
400	1.408208613
401	1.407218626
402	1.406148159
403	1.404855371
404	1.403873422
405	1.40276772
406	1.401663092
407	1.400627013
408	1.399726324
409	1.398962513
410	1.39789657
411	1.396930879
412	1.395933508
